,title,score,img_url,year,nation,category
128,玛丽和马克思,8.9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p488255145.webp,2009,澳大利亚 美国,剧情 喜剧 动画
129,幸福终点站,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.webp,2004,美国,喜剧 剧情 爱情
130,告白,8.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.webp,2010,日本,剧情 悬疑
131,天书奇谭,9.2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.webp,1983(中国大陆),中国大陆,动画 奇幻
132,大鱼,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.webp,2003,美国,剧情 家庭 奇幻 冒险
133,射雕英雄传之东成西就,8.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2609063925.webp,1993,中国香港,喜剧 奇幻 武侠 古装
134,阳光姐妹淘,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.webp,2011,韩国,剧情 喜剧
135,哈利·波特与密室,8.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.webp,2002,美国 英国 德国,奇幻 冒险
136,怪兽电力公司,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.webp,2001,美国,儿童 喜剧 动画 奇幻 冒险
137,恐怖直播,8.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.webp,2013,韩国,剧情 犯罪 悬疑
138,神偷奶爸,8.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.webp,2010,美国 法国,喜剧 动画 冒险
139,时空恋旅人,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.webp,2013,英国,喜剧 爱情 奇幻
140,玩具总动员3,8.9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.webp,2010,美国,喜剧 动画 奇幻 冒险
141,傲慢与偏见,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.webp,2005,法国 英国 美国,剧情 爱情
142,教父3,8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.webp,1990,美国,剧情 犯罪
143,釜山行,8.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.webp,2016,韩国,动作 惊悚 灾难
144,血战钢锯岭,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.webp,2016,澳大利亚 美国,剧情 传记 历史 战争
145,哪吒闹海,9.1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532803206.webp,1979,中国大陆,冒险 动画 奇幻
146,一个叫欧维的男人决定去死,8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.webp,2015,瑞典,剧情
147,被解救的姜戈,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.webp,2012,美国,剧情 动作 西部 冒险
148,七武士,9.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.webp,1954,日本,动作 冒险 剧情
149,未麻的部屋,9.0,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.webp,1997,日本,动画 奇幻 惊悚
150,喜宴,8.9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.webp,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭
151,电锯惊魂,8.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2565332644.webp,2004,美国,悬疑 惊悚 恐怖
152,我是山姆,9.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.webp,2001,美国,剧情 家庭
153,头号玩家,8.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.webp,2018,美国,动作 科幻 冒险
154,风之谷,8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.webp,1984,日本,动画 奇幻 冒险
155,上帝之城,9.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.webp,2002,巴西 法国,犯罪 剧情
156,英雄本色,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.webp,1986,中国香港,剧情 动作 犯罪
157,谍影重重3,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.webp,2007,美国 德国,动作 悬疑 惊悚
158,卢旺达饭店,8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p470419493.webp,2004,英国 南非 意大利,剧情 传记 历史 战争
159,疯狂原始人,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.webp,2013,美国,喜剧 动画 冒险
160,三块广告牌,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.webp,2017,美国 英国,剧情 犯罪
161,新世界,8.9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.webp,2013,韩国,剧情 犯罪
162,花样年华,8.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.webp,2000,中国香港,剧情 爱情
163,模仿游戏,8.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.webp,2014,英国 美国,剧情 传记 战争 同性
164,纵横四海,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.webp,1991,中国香港,剧情 喜剧 动作 犯罪
165,黑客帝国3：矩阵革命,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.webp,2003,美国,动作 科幻
166,达拉斯买家俱乐部,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.webp,2013,美国,剧情 传记 同性
167,岁月神偷,8.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456666151.webp,2010,中国香港 中国大陆,剧情 家庭
168,心迷宫,8.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.webp,2014,中国大陆,剧情 犯罪 悬疑
169,头脑特工队,8.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.webp,2015,美国,喜剧 动画 冒险
170,你的名字。,8.4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.webp,2016,日本,剧情 爱情 动画
171,记忆碎片,8.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p641688453.webp,2000,美国,犯罪 剧情 悬疑 惊悚
172,忠犬八公物语,9.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2603716224.webp,1987,日本,剧情
173,寄生虫,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.webp,2019,韩国,剧情 喜剧
174,荒蛮故事,8.8,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2584519452.webp,2014,阿根廷 西班牙,剧情 喜剧 犯罪
175,海街日记,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.webp,2015,日本,剧情 家庭
176,爆裂鼓手,8.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.webp,2014,美国,剧情 音乐
177,真爱至上,8.6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.webp,2003,英国 美国 法国,喜剧 剧情 爱情
178,贫民窟的百万富翁,8.6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.webp,2008,英国,剧情 爱情
179,东邪西毒,8.6,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.webp,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装
180,惊魂记,9.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.webp,1960,美国,悬疑 惊悚 恐怖
181,萤火虫之墓,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.webp,1988,日本,动画 剧情 战争
182,哈利·波特与火焰杯,8.6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p735391084.webp,2005,英国 美国,悬疑 奇幻 冒险
183,黑天鹅,8.6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.webp,2010,美国,剧情 惊悚
184,小偷家族,8.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.webp,2018,日本,剧情 犯罪 家庭
185,绿里奇迹,8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p767586451.webp,1999,美国,犯罪 剧情 奇幻 悬疑
186,无敌破坏王,8.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.webp,2012,美国,喜剧 动画 奇幻 冒险
187,你看起来好像很好吃,8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p709670262.webp,2010,日本,剧情 动画 儿童
188,冰川时代,8.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.webp,2002,美国,喜剧 动画 冒险
189,爱在午夜降临前,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.webp,2013,美国 希腊,剧情 爱情
190,九品芝麻官,8.6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p648370300.webp,1994,中国香港 中国大陆,剧情 喜剧 古装
191,雨人,8.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2353324612.webp,1988,美国,剧情
192,疯狂的石头,8.5,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p712241453.webp,2006,中国大陆 中国香港,喜剧 犯罪
193,恋恋笔记本,8.5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.webp,2004,美国,剧情 爱情
194,恐怖游轮,8.5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.webp,2009,英国 澳大利亚,剧情 悬疑 惊悚
195,雨中曲,9.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.webp,1952,美国,喜剧 歌舞 爱情
